,location,rating,number_of_reviews,date,trip type
0,서귀포 색달동 2920,4.0,182건,2020년 1월,가족과 여행함
1,,,,2020년 2월,가족과 여행함
2,,,,2019년 10월,친구와 여행함
3,,,,2018년 8월,가족과 여행함
4,,,,2018년 5월,나 혼자 여행함
5,,,,2018년 8월,나 혼자 여행함
6,,,,2018년 9월,가족과 여행함
7,,,,2018년 6월,커플로 여행함
8,,,,2017년 12월,친구와 여행함
9,,,,2018년 2월,나 혼자 여행함
10,,,,2017년 7월,커플로 여행함
11,,,,2017년 4월,가족과 여행함
12,,,,2017년 11월,커플로 여행함
13,,,,2017년 8월,가족과 여행함
14,,,,2017년 4월,가족과 여행함
15,,,,2017년 4월,가족과 여행함
16,,,,2017년 1월,커플로 여행함
17,,,,2017년 1월,가족과 여행함
18,,,,2017년 1월,커플로 여행함
19,,,,2016년 12월,가족과 여행함
20,,,,2016년 11월,가족과 여행함
21,,,,2016년 2월,커플로 여행함
22,,,,2016년 9월,친구와 여행함
23,,,,2015년 8월,가족과 여행함
24,,,,2016년 6월,커플로 여행함
25,,,,2015년 9월,가족과 여행함
26,,,,2015년 7월,친구와 여행함
27,,,,2016년 2월,가족과 여행함
28,,,,2015년 7월,커플로 여행함
29,,,,2016년 5월,가족과 여행함
30,,,,2016년 3월,가족과 여행함
31,,,,2016년 3월,가족과 여행함
32,,,,2016년 3월,친구와 여행함
33,,,,2015년 8월,가족과 여행함
34,,,,2015년 7월,가족과 여행함
35,,,,2015년 6월,친구와 여행함
36,,,,2015년 6월,나 혼자 여행함
37,,,,2015년 10월,가족과 여행함
38,,,,2015년 12월,가족과 여행함
39,,,,2015년 10월,가족과 여행함
40,,,,2016년 1월,가족과 여행함
41,,,,2016년 1월,가족과 여행함
42,,,,2015년 12월,가족과 여행함
43,,,,2015년 12월,가족과 여행함
44,,,,2015년 8월,나 혼자 여행함
45,,,,2015년 8월,가족과 여행함
46,,,,2015년 4월,가족과 여행함
47,,,,2015년 11월,가족과 여행함
48,,,,2015년 2월,가족과 여행함
49,,,,2015년 5월,커플로 여행함
50,,,,2015년 9월,커플로 여행함
51,,,,2014년 11월,가족과 여행함
52,,,,2015년 7월,가족과 여행함
53,,,,2015년 10월,가족과 여행함
54,,,,2015년 10월,가족과 여행함
55,,,,2015년 2월,친구와 여행함
56,,,,2015년 4월,가족과 여행함
57,,,,2015년 1월,나 혼자 여행함
58,,,,2015년 5월,가족과 여행함
59,,,,2015년 8월,커플로 여행함
60,,,,2015년 6월,가족과 여행함
61,,,,2015년 8월,나 혼자 여행함
62,,,,2015년 7월,나 혼자 여행함
63,,,,2015년 2월,가족과 여행함
64,,,,2015년 7월,가족과 여행함
65,,,,2014년 9월,가족과 여행함
66,,,,2015년 2월,친구와 여행함
67,,,,2015년 1월,커플로 여행함
68,,,,2014년 12월,커플로 여행함
69,,,,2014년 8월,커플로 여행함
70,,,,2015년 3월,커플로 여행함
71,,,,2019년 9월,친구와 여행함
72,,,,2018년 11월,나 혼자 여행함
73,,,,2017년 10월,가족과 여행함
74,,,,2018년 3월,커플로 여행함
75,,,,2017년 3월,가족과 여행함
76,,,,2017년 8월,가족과 여행함
77,,,,2017년 7월,가족과 여행함
78,,,,2017년 5월,나 혼자 여행함
79,,,,2017년 5월,친구와 여행함
80,,,,2017년 4월,출장 목적으로 여행함
81,,,,2016년 12월,나 혼자 여행함
82,,,,2016년 5월,가족과 여행함
83,,,,2016년 11월,커플로 여행함
84,,,,2016년 10월,출장 목적으로 여행함
85,,,,2016년 3월,가족과 여행함
86,,,,2016년 10월,친구와 여행함
87,,,,2016년 10월,커플로 여행함
88,,,,2016년 9월,친구와 여행함
89,,,,2016년 8월,나 혼자 여행함
90,,,,2016년 7월,가족과 여행함
91,,,,2016년 7월,친구와 여행함
92,,,,2016년 7월,커플로 여행함
93,,,,2016년 6월,커플로 여행함
94,,,,2016년 4월,출장 목적으로 여행함
95,,,,2015년 10월,친구와 여행함
96,,,,2015년 11월,가족과 여행함
97,,,,2015년 11월,커플로 여행함
98,,,,2015년 11월,커플로 여행함
99,,,,2015년 10월,커플로 여행함
100,,,,2015년 9월,커플로 여행함
101,,,,2015년 6월,친구와 여행함
102,,,,2015년 2월,가족과 여행함
103,,,,2015년 7월,
104,,,,2015년 6월,
105,,,,2015년 5월,
106,,,,2015년 5월,
107,,,,2015년 3월,
108,,,,2014년 3월,
109,,,,2014년 10월,
110,,,,2014년 4월,
111,,,,2014년 10월,
112,,,,2013년 8월,
113,,,,2013년 7월,
